npi,first_name,minit,last_name,address1,city,state,zip,specialty,degree,can_share,can_contact,bzs_hcp_priority,neurexa_target
7093286397,Kristin,,Fox,1845 Cherry St,Montgomery,AL,36107,PD,MD,Y,Y,,Y
5523694799,Eric,R,Bradshaw,12188A N Meridian St Ste 375,Carmel,IN,46032,A,NP,Y,Y,,Y
0890142426,Whitney,S,Cantu,3026 Poplar Level Rd,Louisville,KY,40217,PD,MD,Y,Y,,Y
6875820667,Taylor,A,Perkins,3600 Kolbe Rd,Lorain,OH,44053,FM,NP,Y,Y,,Y
0649768483,Ann,M,Payne,15077 S Dixie Hwy,Miami,FL,33176,PD,PA,Y,Y,,Y
8367564533,Ryan,A,Mason,23 S Howell Ave,Centereach,NY,11720,GP,PA,Y,Y,,Y
3211741337,Jeffrey,,Buck,10340 Park Rd Ste B,Charlotte,NC,28210,GP,NP,Y,Y,,Y
9420040964,Hunter,K,Castro,3101 Churchill Dr Ste 200,Flower Mound,TX,75022,PD,MD,Y,Y,,Y
0131964411,Sharon,M,Osborne,1504 Spring Hill Ave,Mobile,AL,36604,PD,MD,Y,Y,,Y
2092056079,Melanie,S,Long,1310 E Davis Dr,Terre Haute,IN,47802,PD,MD,Y,Y,,Y
2762169849,Patricia,V,Williams,2510 E Dupont Rd Ste 200,Fort Wayne,IN,46825,PD,MD,Y,Y,,Y
2648152464,Kristin,M,Nelson,251 Najoles Rd Ste E,Millersville,MD,21108,PD,NP,Y,Y,B,Y
2914906494,James,B,Ortiz,3115 College Park Dr Ste 104,Conroe,TX,77384,PD,MD,Y,N,,Y
1840383417,Whitney,J,Key,2304 Delaney Ave,Wilmington,NC,28403,LM,MD,Y,Y,,Y
8105470351,Brooke,P,Martinez,1807 W Slaughter Ln Ste 490,Austin,TX,78748,PD,DO,Y,Y,,Y
8639638999,Carol,L,Yu,1801 NE 123rd St Ste 414,North Miami,FL,33181,PD,MD,Y,Y,,Y
1742748942,Jordan,,Munoz,103 Midlands Ct,West Columbia,SC,29169,AI,MD,Y,Y,,Y
1529254779,Diana,C,Cooper,1 Diamond Hill Rd,Berkeley Heights,NJ,07922,POD,MD,Y,Y,,Y
3156800486,Angela,M,Moss,4210 Lincoln Rd,Hattiesburg,MS,39402,PD,MD,Y,Y,,Y
7649619441,Crystal,B,Bailey,933 Brown Chapel Rd,Saint Cloud,FL,34769,PD,MD,Y,Y,,Y
4567784384,Michael,R,Allen,2451 University Hospital Dr,Mobile,AL,36617,PD,MD,Y,Y,,Y
7444985827,Beth,G,Scott,4001 Dutchmans Ln,Louisville,KY,40207,PCC,NP,Y,Y,,Y
6201434017,Mark,F,Johnson,115 Edgebrook Dr,Anderson,SC,29621,AI,MD,Y,Y,,Y
2014264642,Thomas,L,Hall,7332 Office Park Pl Ste 103,Viera,FL,32940,PD,MD,Y,Y,,Y
4960736781,Lisa,J,Smith,5940 Communications Pkwy,Plano,TX,75093,PD,MD,Y,Y,,Y
3091684483,Shane,D,Duncan,210 E Thomas St,Rocky Mount,NC,27801,PD,MD,Y,Y,,Y
4023711067,Tammy,,Bell,25 Crossroads Dr Ste 410,Owings Mills,MD,21117,AI,MD,Y,Y,,Y
9734446574,Victoria,C,Wheeler,39 Franklin Rd Ste 220,Hattiesburg,MS,39402,PD,MD,Y,Y,,Y
8032185814,Tristan,N,Beard,755 Old Norcross Rd,Lawrenceville,GA,30046,ADL,MD,Y,Y,,Y
7533512633,Janice,R,Sanchez,2021 K St NW Ofc Bldg,Washington,DC,20006,AI,MD,Y,Y,,Y
3097335449,James,G,Fernandez,2117 Simonton Rd Ste 402,Statesville,NC,28625,PD,MD,Y,Y,,Y
7379211634,Sherri,R,Yates DDS,217 Brevard Ct,Alexandria,LA,71303,PD,NP,Y,Y,,Y
7141159053,Nathan,C,Campbell,200 Beaullieu Dr Ste 7,Lafayette,LA,70508,PD,MD,Y,Y,,Y
5117051782,Susan,L,Page,1738 Owen Dr Ste 107,Fayetteville,NC,28304,PD,NP,Y,Y,,Y
7826003920,Thomas,,Travis,16 Sumner Pl,Brooklyn,NY,11206,GP,MD,Y,Y,,Y
1518848474,Kristin,O,Kirby,23800 John T Reid Pkwy,Scottsboro,AL,35768,PD,NP,Y,Y,,Y
7497661914,Melissa,E,Joseph,3041 Churchill Dr Ste 300,Flower Mound,TX,75022,PD,NP,Y,Y,,Y
6870453011,Richard,J,Ramos,5470 W Lovers Ln Ste 330,Dallas,TX,75209,PD,MD,Y,Y,,Y
1478840202,Bryan,C,Farrell,3925 Darrow Rd Ste 105,Stow,OH,44224,PD,MD,Y,Y,,Y
9510525345,David,F,Henson,3780 Holcomb Bridge Rd Ste C,Peachtree Corners,GA,30092,PD,MD,Y,Y,,Y
1634098621,Dawn,Y,Brown,3014 37th St,Astoria,NY,11103,PD,MD,Y,Y,,Y
2053452230,Deanna,O,Cooper,200 Beaullieu Dr Ste 7,Lafayette,LA,70508,FM,NP,Y,Y,,Y
6147961569,Ashley,A,Craig,741 Monroe Dr NE Ste 112,Atlanta,GA,30308,PD,MD,Y,Y,,Y
7996553304,Michael,B,Luna,1001 Little Oak Way,Round Rock,TX,78681,PD,NP,Y,Y,,Y
1799683886,David,M,Kramer,911 Worth St,Mount Airy,NC,27030,AI,MD,Y,Y,,Y
6962419843,Michael,B,Hughes,1212 Spruce St Ste 201,Belmont,NC,28012,PD,NP,Y,Y,,Y
9695693657,Barbara,H,Branch,2251 Eldorado Pkwy Ste 150,Mckinney,TX,75070,AI,MD,N,Y,,Y
3824840208,Heather,E,Smith,358 San Lorenzo Ave Ste 3230,Coral Gables,FL,33146,PD,MD,Y,Y,,Y
6297490530,Karen,L,Travis,819 Main St,Hackensack,NJ,07601,PD,MD,Y,Y,,Y
3777775384,James,D,James,12461 Timberland Blvd Ste 309,Fort Worth,TX,76244,PD,MD,Y,Y,,Y
9008339113,Charles,L,Knight,855 Sam Newell Rd Ste 206,Matthews,NC,28105,AI,MD,Y,Y,,Y
2282844996,Donald,D,Sanchez,15A Baynard Park,Newnan,GA,30265,PD,MD,Y,Y,,Y
7608402085,Brittney,W,Norris,240 18th Street Cir SE,Hickory,NC,28602,PD,MD,Y,Y,A,Y
6026337180,Lisa,J,Silva,9035 Sunset Dr Ste 202,Miami,FL,33173,A,NP,Y,Y,,Y
6102909431,David,F,Clark,2113 Adams Grv Ste 101,Columbia,SC,29203,PD,MD,Y,Y,,Y
1279032203,Kimberly,W,Romero,620 Summit Crossing Pl Ste 202,Gastonia,NC,28054,A,NP,Y,Y,,Y
2428829164,Mary,V,Lopez,1516 Chemin Metairie Rd,Youngsville,LA,70592,FM,NP,Y,Y,,Y
1478318864,Paul,M,Hughes,353 Bent Tree Trl,Columbus,MS,39705,FM,NP,Y,Y,,Y
0168917057,Jerry,F,Collins,1455 Farr Rd,Norton Shores,MI,49444,PD,MD,Y,Y,,Y
0625367934,Richard,,Wagner,2211 Route 88 Ste 2A,Brick,NJ,08724,PD,MD,Y,Y,,Y
3061699685,Shannon,L,Barrera,3026 Poplar Level Rd,Louisville,KY,40217,PD,NP,Y,Y,,Y
6562985980,Jesse,P,Graves,8311 Warren H Abernathy Hwy,Spartanburg,SC,29301,PD,MD,Y,Y,,Y
3844605826,Ronald,C,Parker,18 8th Street Dr SE Pa 240,Hickory,NC,28602,PD,MD,Y,Y,,Y
6124502511,Karen,D,Scott,5622 E Sam Houston Pkwy N,Houston,TX,77015,GP,PA,Y,Y,,Y
8452201623,David,A,Moore,3127 College St,Beaumont,TX,77701,PD,MD,Y,Y,,Y
6822364469,Kyle,M,Smith,1500 Route 112 Bldg 4 Fl 2,Port Jefferson Station,NY,11776,AI,MD,Y,Y,,Y
3720892682,Penny,L,Cruz,111 Hilltop St,Rutherford College,NC,28671,PD,NP,Y,Y,,Y
6653611255,Susan,R,Conway,1872 N Lake Forest Dr,Mckinney,TX,75071,PD,NP,Y,Y,,Y
1344143505,Loretta,R,Barron,765 State Route 10 Ste 203,Randolph,NJ,07869,PD,MD,Y,Y,,Y
2680611748,Debra,L,Haley,2895 Zelda Rd,Montgomery,AL,36106,FM,NP,Y,Y,,Y
2636628993,Nathan,F,Johnson,10115 Forest Hill Blvd Ste 403,Wellington,FL,33414,AI,MD,N,Y,,Y
4582888865,Michael,H,Brandt,4710 Bellaire Blvd Ste 130,Bellaire,TX,77401,PD,MD,Y,Y,,Y
0048976049,Anthony,V,Williams,13611 Skinner Rd,Cypress,TX,77429,PD,MD,Y,Y,,Y
3731857808,Kayla,,Hernandez,7940 Shoal Creek Blvd Ste 100,Austin,TX,78757,PPR,MD,N,Y,,Y
5758208476,Nicole,K,Holloway,2035 Ralph Ave,Brooklyn,NY,11234,PD,MD,Y,Y,,Y
7434490204,Lisa,E,Ferguson,3411 Graystone Pl SE,Conover,NC,28613,PD,MD,Y,Y,,Y
2042014136,Janice,E,Thomas,3506 S Lafountain St,Kokomo,IN,46902,PD,MD,Y,Y,,Y
5583713834,John,L,White,862 W Rusk St,Rockwall,TX,75087,PD,NP,Y,Y,,Y
3902960176,Raymond,F,Harris,1000 E John Rowan Blvd Ste 104,Bardstown,KY,40004,GP,NP,Y,Y,,Y
3074668926,John,A,Ross,419 S Union Ave,Havre De Grace,MD,21078,FM,NP,Y,Y,,Y
3976190250,Sara,M,Edwards,801 Route 73 N Ste B,Marlton,NJ,08053,AI,DO,Y,Y,,Y
2095336304,Kimberly,A,Colon,3411 Graystone Pl SE,Conover,NC,28613,PD,MD,N,Y,,Y
2336751550,Jaime,T,Sutton,1508 S Broad St Ste 300,Scottsboro,AL,35768,PD,MD,Y,Y,,Y
7243262327,Tiffany,D,Olsen MD,1530 N 7th St Ste 200,Terre Haute,IN,47807,FM,NP,Y,Y,,Y
5369573449,Michelle,N,Gonzales,14135 Ballantyne Corporate Pl,Charlotte,NC,28277,AI,MD,Y,Y,,Y
3116749357,Robin,B,Anthony,130 W Exchange St,Akron,OH,44302,PDA,MD,Y,Y,,Y
8498355520,Michelle,J,Hernandez,30701 Woodward Ave 301,Royal Oak,MI,48073,PD,MD,Y,Y,,Y
2285000270,Dana,C,Baker,2630 E 7th St Ste 101,Charlotte,NC,28204,PD,MD,Y,Y,,Y
7929952209,Jesus,,Johnson,153 Beaumont St,Brooklyn,NY,11235,GP,PA,Y,Y,,Y
9040239136,Alexis,A,Owens,3500 Civic Center Blvd,Philadelphia,PA,19104,PDP,MD,Y,Y,,Y
4333460109,Meagan,J,Butler,7452 Fulton Dr NW Ste B,Massillon,OH,44646,FM,NP,Y,Y,,Y
2702278510,David,,Pena,475 Biltmore Way Ste 209,Coral Gables,FL,33134,AI,MD,Y,Y,,Y
