call_id,product_description,call_type,sample_product,lot_number,hcp_name,quantity,npi,sample_date
a048Z00000n9mZQ,Zemlora,Detail with Sample,Zemlora,42233,Michael Jones,4,0015365018,2024-02-19
a048Z00000u2Pfz,Trivaxa,Detail with Sample,Trivaxa,42233,Michael Jones,6,0015365018,2024-05-12
a04Qk000005uLy9,Trivaxa,Detail with Sample,Trivaxa,50441,Michael Jones,2,0015365018,2025-01-01
a04Qk000006bdtO,Trivaxa,Detail with Sample,Trivaxa,50441,Michael Jones,4,0015365018,2025-02-25
a04Qk000006sQ3h,Zemlora,Detail with Sample,Zemlora,50441,Michael Jones,6,0015365018,2025-03-09
a04Qk000007FtPx,Trivaxa,Detail with Sample,Trivaxa,50441,Michael Jones,6,0015365018,2025-03-28
a04Qk0000089QQ5,Trivaxa,Detail with Sample,Trivaxa,50441,Michael Jones,4,0015365018,2025-05-17
a04Qk000006LvxV,Trivaxa,Detail with Sample,Trivaxa,50441,Tyler Washington,2,0021646406,2025-02-12
a04Qk000006u0TJ,Trivaxa,Detail with Sample,Trivaxa,50441,Tyler Washington,2,0021646406,2025-03-10
a04Qk000007AZen,Trivaxa,Detail with Sample,Trivaxa,50441,Tyler Washington,2,0021646406,2025-03-24
a04Qk000007aA6T,Trivaxa,Detail with Sample,Trivaxa,50441,Tyler Washington,2,0021646406,2025-04-15
a04Qk000007aArF,Trivaxa,Detail with Sample,Trivaxa,50441,Tyler Washington,2,0021646406,2025-04-15
a04Qk000008K9SL,Zemlora,Detail with Sample,Zemlora,50441,Tyler Washington,2,0021646406,2025-06-06
a048Z00000tspyo,Zemlora,Detail with Sample,Zemlora,42233,Zachary Johnson,2,0021930023,2023-12-14
a048Z00000n9wdY,Trivaxa,Detail with Sample,Trivaxa,42233,Zachary Johnson,3,0021930023,2024-03-05
a04Qk000007aAxi,Trivaxa,Detail with Sample,Trivaxa,50441,Zachary Johnson,3,0021930023,2025-04-15
a04Qk000006VaqA,Zemlora,Detail with Sample,Zemlora,50441,Christopher Wilson,4,0035129621,2025-02-20
a04Qk000008Rker,Trivaxa,Detail with Sample,Trivaxa,50441,Christopher Wilson,4,0035129621,2025-06-15
a04Qk000005QLkI,Zemlora,Detail with Sample,Zemlora,50441,Thomas Stephens,1,0036923484,2024-12-03
a04Qk0000073Xkz,Trivaxa,Detail with Sample,Trivaxa,50441,Thomas Stephens,2,0036923484,2025-03-18
a04Qk000005I7JV,Trivaxa,Detail with Sample,Trivaxa,50441,John Foster,6,0046543708,2024-11-26
a04Qk000005PHij,Trivaxa,Detail with Sample,Trivaxa,50441,John Foster,2,0046543708,2024-12-02
a04Qk000006jXpB,Zemlora,Detail with Sample,Zemlora,50441,John Foster,4,0046543708,2025-03-01
a04Qk000006qrBG,Trivaxa,Detail with Sample,Trivaxa,50441,John Foster,4,0046543708,2025-03-08
a04Qk000007f0EY,Zemlora,Detail with Sample,Zemlora,50441,Anthony Williams,1,0048976049,2025-04-18
a048Z00000uhGpn,Trivaxa,Detail with Sample,Trivaxa,42233,Ann Hill,3,0050224659,2024-02-15
a048Z00000u2GLg,Zemlora,Detail with Sample,Zemlora,42233,Ann Hill,2,0050224659,2024-04-29
a04Qk000006DJXd,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,2,0050224659,2025-02-04
a04Qk000006KRmz,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,2,0050224659,2025-02-11
a04Qk000006YNgI,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,1,0050224659,2025-02-24
a04Qk0000076bYj,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,1,0050224659,2025-03-22
a04Qk000007BxLh,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,3,0050224659,2025-03-25
a04Qk000007WYwz,Trivaxa,Detail with Sample,Trivaxa,50441,Ann Hill,2,0050224659,2025-04-13
a04Qk000008ZIQT,Zemlora,Detail with Sample,Zemlora,50441,Ann Hill,5,0050224659,2025-06-22
a04Qk000006knof,Trivaxa,Detail with Sample,Trivaxa,50441,Melody Walls,2,0050955796,2025-03-02
a04Qk000006knzx,Trivaxa,Detail with Sample,Trivaxa,50441,Melody Walls,2,0050955796,2025-03-02
a04Qk0000078m9u,Zemlora,Detail with Sample,Zemlora,50441,Melody Walls,2,0050955796,2025-03-23
a048Z00000uh67t,Trivaxa,Detail with Sample,Trivaxa,42233,Samuel Miller,10,0076373270,2024-01-29
a048Z00000u1wNL,Zemlora,Detail with Sample,Zemlora,42233,Samuel Miller,12,0076373270,2024-03-25
a048Z00000u2PqB,Trivaxa,Detail with Sample,Trivaxa,42233,Samuel Miller,8,0076373270,2024-05-12
a04Qk000006ruGm,Trivaxa,Detail with Sample,Trivaxa,50441,Samuel Miller,3,0076373270,2025-03-09
a04Qk000007Bi4v,Trivaxa,Detail with Sample,Trivaxa,50441,Christine Holloway,3,0108254545,2025-03-25
a04Qk000006nDS5,Zemlora,Detail with Sample,Zemlora,50441,Eric Bray,3,0112117668,2025-03-04
a04Qk000007xchx,Trivaxa,Detail with Sample,Trivaxa,50441,Eric Bray,2,0112117668,2025-05-05
a048Z00000tsmuW,Trivaxa,Detail with Sample,Trivaxa,42233,Daniel Smith,3,0115541420,2023-12-11
a048Z00000u2BcG,Trivaxa,Detail with Sample,Trivaxa,42233,Daniel Smith,3,0115541420,2024-04-17
a04Qk000006SKBd,Trivaxa,Detail with Sample,Trivaxa,50441,John Lee,5,0116265190,2025-02-18
